manual_id,component,issue_type,description,resolution_steps
M027,API,Rate Limit Exceeded,"Users hitting API limits","1. Increase rate limits. 2. Apply throttling. 3. Use caching."
M028,API,Invalid Token,"API authentication failing","1. Verify token signature. 2. Refresh tokens. 3. Recheck OAuth config."
M029,Analytics,Report Delay,"Analytics reports delayed","1. Verify ETL job status. 2. Restart pipeline. 3. Optimize queries."
M030,Analytics,Data Mismatch,"Reports showing inconsistent data","1. Validate ETL mapping. 2. Re-run jobs. 3. Correct schema issues."
M031,Analytics,Dashboard Crash,"Dashboards not loading","1. Check DB connectivity. 2. Restart BI server. 3. Optimize queries."
M032,Backup,Failure,"Daily backup job failed","1. Check backup logs. 2. Verify disk space. 3. Restart backup job."
M033,Backup,Slow Backup,"Backups taking too long","1. Enable compression. 2. Optimize IO. 3. Run off-peak."
M034,Backup,Restore Failure,"Restore process fails","1. Validate backup file. 2. Increase timeout. 3. Re-run restore."
M035,Monitoring,Alert Storm,"Too many false alerts","1. Tune thresholds. 2. Suppress duplicates. 3. Use anomaly detection."
M036,Monitoring,No Alerts,"Critical issues not generating alerts","1. Check monitoring config. 2. Restart agent. 3. Validate alert rules."
M037,Monitoring,Metric Gaps,"Missing monitoring data","1. Restart metrics collector. 2. Check time sync. 3. Fix agent config."
M038,Caching,Cache Miss,"High DB load due to cache miss","1. Check cache TTL. 2. Preload hot keys. 3. Scale cache cluster."
M039,Caching,Stale Data,"Users see old data","1. Enable cache invalidation. 2. Use write-through cache. 3. Reduce TTL."
M040,Caching,Eviction Issues,"Hot keys evicted frequently","1. Increase memory. 2. Use LFU policy. 3. Add secondary cache."
M041,Search,Slow Search,"Search takes >5s","1. Add inverted index. 2. Optimize queries. 3. Scale Elasticsearch cluster."
M042,Search,No Results,"Search not returning expected results","1. Rebuild index. 2. Check analyzers. 3. Normalize queries."
M043,Search,Relevance Issue,"Results not ranked properly","1. Tune relevance scoring. 2. Add synonyms. 3. Train ranking model."
M044,CI/CD,Pipeline Failure,"Jenkins pipeline broken","1. Check Jenkins logs. 2. Restart agent. 3. Validate pipeline script."
M045,CI/CD,Test Failure,"Automated tests failing","1. Check test reports. 2. Fix flaky tests. 3. Mock external dependencies."
M046,CI/CD,Deployment Delay,"CI/CD jobs stuck in queue","1. Add more agents. 2. Prioritize jobs. 3. Optimize build scripts."
M047,Mobile,App Crash,"Mobile app crashes on launch","1. Check crash logs. 2. Validate SDK versions. 3. Rollback update."
M048,Mobile,Push Notification Failure,"Users not receiving push notifications","1. Verify FCM/APNs config. 2. Check expired tokens. 3. Retry sending."
M049,Mobile,Slow App,"Mobile app loading too slow","1. Optimize assets. 2. Use lazy loading. 3. Enable caching."
M050,Mobile,Login Issue,"Social login not working","1. Check OAuth keys. 2. Update SDK. 3. Debug network calls."
